model,entity_type,layer,group,home_family,controls,posterior_r,posterior_r_controls,posterior_delta,geometric_lean,geometric_lean_controls,geometric_delta,best_C_mode,best_C_frac,n_folds
meta-llama-Llama-3.1-8B,functional_group,24,amide,nitrogen,amine|imine|nitrile,0.282054,0.041073,0.240981,0.85864,-0.446684,1.305324,0.0001,0.579,19
meta-llama-Llama-3.1-8B,functional_group,24,nitro,nitrogen,amine|imine|nitrile,0.105572,0.041073,0.064499,0.475408,-0.446684,0.922092,0.0001,0.579,19
meta-llama-Llama-3.1-8B,functional_group,24,sulfone,sulfur,thiol|thioether,0.034178,0.070937,-0.036758,0.319209,-0.373422,0.692631,0.0001,0.579,19
meta-llama-Llama-3.1-8B,functional_group,24,sulfoxide,sulfur,thiol|thioether,0.019453,0.070937,-0.051484,0.274534,-0.373422,0.647956,0.0001,0.579,19
meta-llama-Llama-3.1-8B,functional_group,31,amide,nitrogen,amine|imine|nitrile,0.159331,0.011989,0.147342,0.830954,-0.305437,1.136391,0.001,0.947,19
meta-llama-Llama-3.1-8B,functional_group,31,nitro,nitrogen,amine|imine|nitrile,0.094095,0.011989,0.082106,0.491269,-0.305437,0.796706,0.001,0.947,19
meta-llama-Llama-3.1-8B,functional_group,31,sulfone,sulfur,thiol|thioether,0.017566,0.020715,-0.003149,0.438111,-0.254621,0.692732,0.001,0.947,19
meta-llama-Llama-3.1-8B,functional_group,31,sulfoxide,sulfur,thiol|thioether,0.013653,0.020715,-0.007063,0.370762,-0.254621,0.625383,0.001,0.947,19
phenixace-Chem-R-Faithful,functional_group,24,amide,nitrogen,amine|imine|nitrile,0.476061,0.090091,0.385971,1.014458,-0.194296,1.208754,0.01,0.789,19
phenixace-Chem-R-Faithful,functional_group,24,nitro,nitrogen,amine|imine|nitrile,0.35098,0.090091,0.260889,-0.180452,-0.194296,0.013844,0.01,0.789,19
phenixace-Chem-R-Faithful,functional_group,24,sulfone,sulfur,thiol|thioether,0.026334,0.116516,-0.090182,-0.064294,-0.30096,0.236666,0.01,0.789,19
phenixace-Chem-R-Faithful,functional_group,24,sulfoxide,sulfur,thiol|thioether,0.037418,0.116516,-0.079098,0.350569,-0.30096,0.651529,0.01,0.789,19
phenixace-Chem-R-Faithful,functional_group,31,amide,nitrogen,amine|imine|nitrile,0.487428,0.218885,0.268543,1.087565,-0.078175,1.16574,0.001,0.842,19
phenixace-Chem-R-Faithful,functional_group,31,nitro,nitrogen,amine|imine|nitrile,0.345202,0.218885,0.126317,-0.22431,-0.078175,-0.146135,0.001,0.842,19
phenixace-Chem-R-Faithful,functional_group,31,sulfone,sulfur,thiol|thioether,0.055665,0.151052,-0.095387,-0.3557,-0.435737,0.080037,0.001,0.842,19
phenixace-Chem-R-Faithful,functional_group,31,sulfoxide,sulfur,thiol|thioether,0.158131,0.151052,0.007079,0.116798,-0.435737,0.552535,0.001,0.842,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,amide,nitrogen,amine|imine|nitrile,0.586986,0.110813,0.476173,1.144012,-0.371039,1.515051,0.0001,1.0,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,nitro,nitrogen,amine|imine|nitrile,0.37863,0.110813,0.267816,0.564961,-0.371039,0.936,0.0001,1.0,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,sulfone,sulfur,thiol|thioether,0.139586,0.071345,0.068241,0.26486,-0.451484,0.716345,0.0001,1.0,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,sulfoxide,sulfur,thiol|thioether,0.098716,0.071345,0.027371,0.31702,-0.451484,0.768504,0.0001,1.0,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,amide,nitrogen,amine|imine|nitrile,0.532016,0.133913,0.398103,1.192671,-0.463089,1.655761,0.0001,1.0,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,nitro,nitrogen,amine|imine|nitrile,0.451014,0.133913,0.317101,0.745753,-0.463089,1.208843,0.0001,1.0,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,sulfone,sulfur,thiol|thioether,0.130422,0.097391,0.033031,0.247824,-0.479822,0.727647,0.0001,1.0,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,sulfoxide,sulfur,thiol|thioether,0.08416,0.097391,-0.013231,0.316127,-0.479822,0.79595,0.0001,1.0,19
