model,entity_type,layer,depth,raw_pairwise_cos,orig_within,orig_between,orig_gap,cent_within,cent_between,cent_gap,within_std_across_groups,pc1_variance_ratio,analogy_mean,analogy_n,analogy_n_positive_sig,analogy_n_negative_sig,closed_form_ci
meta-llama-Llama-3.1-8B,functional_group,0,0.0,0.9902608369562083,0.8427048107249695,0.44958078495843085,0.39312402576653865,0.7394073493125146,-0.007718323110566416,0.747125672423081,0.1083445247683971,0.6130459308624268,0.1176559366285801,4,2,1,0.051421875
meta-llama-Llama-3.1-8B,functional_group,8,0.2581,0.9651352546884862,0.8350113086533129,0.531189568942598,0.3038217397107149,0.6712642537854743,-0.036490012638527684,0.707754266424002,0.06802961746099306,0.6196303367614746,0.23568621091544628,4,3,0,0.051421875
meta-llama-Llama-3.1-8B,functional_group,16,0.5161,0.9433172141970257,0.8567198258742952,0.5375107881587206,0.31920903771557463,0.6953597168127695,-0.04159211560633131,0.7369518324191009,0.04914512906879168,0.6075779795646667,0.27261085622012615,4,3,1,0.051421875
meta-llama-Llama-3.1-8B,functional_group,24,0.7742,0.8561416477377883,0.9098210308635444,0.4748358518969028,0.4349851789666416,0.8272988874661295,-0.047672392680752046,0.8749712801468815,0.03810228179887391,0.5257323980331421,0.23791110143065453,4,2,2,0.051421875
meta-llama-Llama-3.1-8B,functional_group,31,1.0,0.9427048246284108,0.8909859683429986,0.40681490084028404,0.48417106750271455,0.8170263011727417,-0.04619987149333461,0.8632261726660763,0.052182867555814194,0.48005637526512146,0.15033824741840363,4,2,2,0.051421875
meta-llama-Llama-3.1-70B,functional_group,0,0.0,0.996446721871618,0.8252856388295952,0.34159474964602404,0.4836908891835711,0.760291237253369,-0.033485142614568884,0.7937763798679379,0.10982418133917987,0.5745083689689636,0.17123647779226303,4,2,2,0.036360756513826996
meta-llama-Llama-3.1-70B,functional_group,20,0.2532,0.954245890562351,0.7877981283685618,0.5016635020608314,0.28613462630773034,0.5851244580065995,-0.03577761505505151,0.620902073061651,0.07710128869298716,0.5986508131027222,0.18340911995619535,4,2,2,0.036360756513826996
meta-llama-Llama-3.1-70B,functional_group,40,0.5063,0.8367059971519594,0.8784814497880769,0.4765923112493133,0.40188913853876357,0.7737580746935125,-0.04321568582334464,0.8169737605168572,0.05330049884300512,0.5747261643409729,0.24643330764956772,4,2,1,0.036360756513826996
meta-llama-Llama-3.1-70B,functional_group,60,0.7595,0.7801641411064802,0.8983407930323952,0.40975953752043665,0.4885812555119586,0.8375740793713352,-0.045949484014315006,0.8835235633856502,0.04386039555596415,0.5365565419197083,0.2481270357966423,4,3,1,0.036360756513826996
meta-llama-Llama-3.1-70B,functional_group,79,1.0,0.9332683629045291,0.8735731547338921,0.39990655796997054,0.47366659676392153,0.7867570258023446,-0.04280031679565199,0.8295573425979966,0.04018715104091344,0.48886239528656006,0.21610108017921448,4,2,2,0.036360756513826996
