model,layer,depth,group,within_score
meta-llama-Llama-3.1-8B,0,0.0,alcohol,0.8276707331339518
meta-llama-Llama-3.1-8B,0,0.0,aldehyde,0.9035115242004395
meta-llama-Llama-3.1-8B,0,0.0,alkyl bromide,0.7991274992624918
meta-llama-Llama-3.1-8B,0,0.0,alkyl chloride,0.8105752567450205
meta-llama-Llama-3.1-8B,0,0.0,alkyl fluoride,0.8009196817874908
meta-llama-Llama-3.1-8B,0,0.0,alkyl iodide,0.8106133540471395
meta-llama-Llama-3.1-8B,0,0.0,amide,0.9115501940250397
meta-llama-Llama-3.1-8B,0,0.0,amine,0.8187101284662882
meta-llama-Llama-3.1-8B,0,0.0,carboxylic acid,0.9625118672847748
meta-llama-Llama-3.1-8B,0,0.0,ester,0.6909359395503998
meta-llama-Llama-3.1-8B,0,0.0,ether,0.7758414844671885
meta-llama-Llama-3.1-8B,0,0.0,imine,0.9026520649592081
meta-llama-Llama-3.1-8B,0,0.0,ketone,0.5025000994404157
meta-llama-Llama-3.1-8B,0,0.0,nitrile,0.9373909135659536
meta-llama-Llama-3.1-8B,0,0.0,nitro,0.9720638692378998
meta-llama-Llama-3.1-8B,0,0.0,sulfone,0.9458247125148773
meta-llama-Llama-3.1-8B,0,0.0,sulfoxide,0.9403980374336243
meta-llama-Llama-3.1-8B,0,0.0,thioether,0.8708743353684744
meta-llama-Llama-3.1-8B,0,0.0,thiol,0.8277197082837423
meta-llama-Llama-3.1-8B,8,0.2581,alcohol,0.8264462053775787
meta-llama-Llama-3.1-8B,8,0.2581,aldehyde,0.7298429111639658
meta-llama-Llama-3.1-8B,8,0.2581,alkyl bromide,0.8642172416051229
meta-llama-Llama-3.1-8B,8,0.2581,alkyl chloride,0.8930245240529379
meta-llama-Llama-3.1-8B,8,0.2581,alkyl fluoride,0.9005513489246368
meta-llama-Llama-3.1-8B,8,0.2581,alkyl iodide,0.9000648260116577
meta-llama-Llama-3.1-8B,8,0.2581,amide,0.7724692523479462
meta-llama-Llama-3.1-8B,8,0.2581,amine,0.8514050046602885
meta-llama-Llama-3.1-8B,8,0.2581,carboxylic acid,0.7999623119831085
meta-llama-Llama-3.1-8B,8,0.2581,ester,0.732183704773585
meta-llama-Llama-3.1-8B,8,0.2581,ether,0.7317255735397339
meta-llama-Llama-3.1-8B,8,0.2581,imine,0.8923278550306956
meta-llama-Llama-3.1-8B,8,0.2581,ketone,0.7882127463817596
meta-llama-Llama-3.1-8B,8,0.2581,nitrile,0.7454441587130228
meta-llama-Llama-3.1-8B,8,0.2581,nitro,0.9286025663216909
meta-llama-Llama-3.1-8B,8,0.2581,sulfone,0.9025142192840576
meta-llama-Llama-3.1-8B,8,0.2581,sulfoxide,0.8923318286736807
meta-llama-Llama-3.1-8B,8,0.2581,thioether,0.8006354173024496
meta-llama-Llama-3.1-8B,8,0.2581,thiol,0.9132531682650248
meta-llama-Llama-3.1-8B,16,0.5161,alcohol,0.8648399909337362
meta-llama-Llama-3.1-8B,16,0.5161,aldehyde,0.7941771248976389
meta-llama-Llama-3.1-8B,16,0.5161,alkyl bromide,0.8035411437352499
meta-llama-Llama-3.1-8B,16,0.5161,alkyl chloride,0.844858855009079
meta-llama-Llama-3.1-8B,16,0.5161,alkyl fluoride,0.9032026330629984
meta-llama-Llama-3.1-8B,16,0.5161,alkyl iodide,0.8436010976632436
meta-llama-Llama-3.1-8B,16,0.5161,amide,0.8167273104190826
meta-llama-Llama-3.1-8B,16,0.5161,amine,0.8768030901749929
meta-llama-Llama-3.1-8B,16,0.5161,carboxylic acid,0.8551295101642609
meta-llama-Llama-3.1-8B,16,0.5161,ester,0.7919389605522156
meta-llama-Llama-3.1-8B,16,0.5161,ether,0.8069047033786774
meta-llama-Llama-3.1-8B,16,0.5161,imine,0.8871907293796539
meta-llama-Llama-3.1-8B,16,0.5161,ketone,0.8075591723124186
meta-llama-Llama-3.1-8B,16,0.5161,nitrile,0.7885282635688782
meta-llama-Llama-3.1-8B,16,0.5161,nitro,0.9169012705485026
meta-llama-Llama-3.1-8B,16,0.5161,sulfone,0.9319982330004374
meta-llama-Llama-3.1-8B,16,0.5161,sulfoxide,0.932513693968455
meta-llama-Llama-3.1-8B,16,0.5161,thioether,0.8980762362480164
meta-llama-Llama-3.1-8B,16,0.5161,thiol,0.9131846725940704
meta-llama-Llama-3.1-8B,24,0.7742,alcohol,0.9452836811542511
meta-llama-Llama-3.1-8B,24,0.7742,aldehyde,0.9171001811822256
meta-llama-Llama-3.1-8B,24,0.7742,alkyl bromide,0.842558761437734
meta-llama-Llama-3.1-8B,24,0.7742,alkyl chloride,0.8834186395009359
meta-llama-Llama-3.1-8B,24,0.7742,alkyl fluoride,0.9115517834822336
meta-llama-Llama-3.1-8B,24,0.7742,alkyl iodide,0.8651840289433798
meta-llama-Llama-3.1-8B,24,0.7742,amide,0.9372740387916565
meta-llama-Llama-3.1-8B,24,0.7742,amine,0.9385645985603333
