model,entity_type,template_index,n_prompts,strict_accuracy,balanced_strict_accuracy,commit_rate,conditional_accuracy,containment_accuracy,malformed_rate,underspecified_rate,non_answer_rate,answer_wrong_rate
meta-llama-Llama-3.1-8B,functional_group,0,92,0.630435,0.5875,0.673913,0.935484,0.684783,0.173913,0.054348,0.097826,0.043478
meta-llama-Llama-3.1-8B,functional_group,1,92,0.608696,0.5625,0.619565,0.982456,0.73913,0.23913,0.108696,0.032609,0.01087
meta-llama-Llama-3.1-8B,functional_group,2,92,0.673913,0.625,0.815217,0.826667,0.695652,0.043478,0.086957,0.054348,0.141304
meta-llama-Llama-3.1-8B,functional_group,3,92,0.565217,0.5125,0.641304,0.881356,0.608696,0.0,0.152174,0.206522,0.076087
meta-llama-Llama-3.1-8B,functional_group,4,92,0.48913,0.4875,0.51087,0.957447,0.48913,0.043478,0.097826,0.347826,0.021739
meta-llama-Llama-3.1-8B,functional_group,5,92,0.543478,0.51875,0.597826,0.909091,0.554348,0.065217,0.108696,0.228261,0.054348
meta-llama-Llama-3.1-8B,functional_group,6,92,0.630435,0.575,0.771739,0.816901,0.630435,0.0,0.054348,0.173913,0.141304
meta-llama-Llama-3.1-8B,functional_group,7,92,0.630435,0.6125,0.663043,0.95082,0.630435,0.0,0.141304,0.195652,0.032609
meta-llama-Llama-3.1-8B,functional_group,8,92,0.195652,0.175,0.195652,1.0,0.586957,0.75,0.0,0.054348,0.0
meta-llama-Llama-3.1-8B,functional_group,9,92,0.880435,0.8625,0.880435,1.0,0.880435,0.0,0.021739,0.097826,0.0
phenixace-Chem-R-Faithful,functional_group,0,92,0.956522,0.95625,0.956522,1.0,0.956522,0.0,0.032609,0.01087,0.0
phenixace-Chem-R-Faithful,functional_group,1,92,0.869565,0.85,0.869565,1.0,0.869565,0.0,0.130435,0.0,0.0
phenixace-Chem-R-Faithful,functional_group,2,92,0.869565,0.9,0.869565,1.0,0.880435,0.0,0.0,0.130435,0.0
phenixace-Chem-R-Faithful,functional_group,3,92,0.684783,0.64375,0.684783,1.0,0.75,0.054348,0.152174,0.108696,0.0
phenixace-Chem-R-Faithful,functional_group,4,92,0.826087,0.8,0.826087,1.0,0.826087,0.0,0.173913,0.0,0.0
phenixace-Chem-R-Faithful,functional_group,5,92,0.880435,0.8625,0.880435,1.0,0.880435,0.0,0.119565,0.0,0.0
phenixace-Chem-R-Faithful,functional_group,6,92,0.717391,0.675,0.793478,0.90411,0.75,0.0,0.076087,0.130435,0.076087
phenixace-Chem-R-Faithful,functional_group,7,92,0.891304,0.9,0.891304,1.0,0.913043,0.01087,0.043478,0.054348,0.0
phenixace-Chem-R-Faithful,functional_group,8,92,0.717391,0.6875,0.782609,0.916667,0.73913,0.0,0.043478,0.173913,0.065217
phenixace-Chem-R-Faithful,functional_group,9,92,0.836957,0.8125,0.836957,1.0,0.836957,0.0,0.163043,0.0,0.0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,0,92,0.706522,0.6875,0.76087,0.928571,0.717391,0.108696,0.021739,0.108696,0.054348
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,1,92,0.836957,0.8125,0.836957,1.0,0.836957,0.0,0.076087,0.086957,0.0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,2,92,0.815217,0.7875,0.891304,0.914634,0.815217,0.01087,0.097826,0.0,0.076087
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,3,92,0.586957,0.55625,0.597826,0.981818,0.619565,0.0,0.043478,0.358696,0.01087
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,4,92,0.836957,0.8125,0.836957,1.0,0.847826,0.0,0.032609,0.130435,0.0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,5,92,0.902174,0.8875,0.902174,1.0,0.913043,0.0,0.021739,0.076087,0.0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,6,92,0.717391,0.675,0.836957,0.857143,0.728261,0.0,0.130435,0.032609,0.119565
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,7,92,0.76087,0.73125,0.815217,0.933333,0.771739,0.01087,0.097826,0.076087,0.054348
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,8,92,0.804348,0.78125,0.858696,0.936709,0.804348,0.021739,0.032609,0.086957,0.054348
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,9,92,0.923913,0.9125,0.945652,0.977011,0.923913,0.0,0.021739,0.032609,0.021739
