model,entity_type,layer,block,n_members,n_within_pairs,mean_within_z,mean_other_z,cohesion
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,0,halide,4,6,1.572815,-0.057193,1.630008
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,0,nitrogen,5,10,-0.477184,0.029639,-0.506823
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,0,sulfur,4,6,0.947502,-0.034455,0.981957
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,0,carbonyl,5,10,0.468588,-0.029105,0.497693
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,8,halide,4,6,1.63316,-0.059388,1.692547
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,8,nitrogen,5,10,0.095188,-0.005912,0.1011
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,8,sulfur,4,6,0.933276,-0.033937,0.967214
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,8,carbonyl,5,10,0.732134,-0.045474,0.777608
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,16,halide,4,6,2.200225,-0.080008,2.280233
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,16,nitrogen,5,10,0.634513,-0.039411,0.673923
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,16,sulfur,4,6,1.293957,-0.047053,1.34101
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,16,carbonyl,5,10,1.452497,-0.090217,1.542715
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,halide,4,6,1.955621,-0.071113,2.026735
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,nitrogen,5,10,0.928743,-0.057686,0.986429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,sulfur,4,6,1.956849,-0.071158,2.028007
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,carbonyl,5,10,1.588621,-0.098672,1.687293
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,halide,4,6,1.695347,-0.061649,1.756996
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,nitrogen,5,10,0.880505,-0.05469,0.935195
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,sulfur,4,6,2.373717,-0.086317,2.460034
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,carbonyl,5,10,1.705938,-0.105959,1.811897
meta-llama-Llama-3.1-8B,functional_group,0,halide,4,6,1.699275,-0.061792,1.761067
meta-llama-Llama-3.1-8B,functional_group,0,nitrogen,5,10,-0.392608,0.024386,-0.416993
meta-llama-Llama-3.1-8B,functional_group,0,sulfur,4,6,0.655106,-0.023822,0.678928
meta-llama-Llama-3.1-8B,functional_group,0,carbonyl,5,10,0.46258,-0.028732,0.491312
meta-llama-Llama-3.1-8B,functional_group,8,halide,4,6,1.720463,-0.062562,1.783026
meta-llama-Llama-3.1-8B,functional_group,8,nitrogen,5,10,0.215267,-0.013371,0.228637
meta-llama-Llama-3.1-8B,functional_group,8,sulfur,4,6,0.574345,-0.020885,0.59523
meta-llama-Llama-3.1-8B,functional_group,8,carbonyl,5,10,0.433193,-0.026906,0.4601
meta-llama-Llama-3.1-8B,functional_group,16,halide,4,6,1.46771,-0.053371,1.521081
