model,entity_type,layer,raw_pairwise_cosine,diffvec_svd_top1,diffvec_svd_top5,raw_within,raw_between,raw_gap,raw_between_max,centered_within,centered_between,centered_null,centered_null_sd,hit1,hit1_ex_sulfoxide,degenerate_rate,n_trials
meta-llama-Llama-3.1-8B,functional_group,0,0.989265,0.536319,0.879944,0.865158,0.53065,0.334508,0.990384,0.786121,-0.017526,-0.019848,0.373157,0.6,0.666667,0.35,20
meta-llama-Llama-3.1-8B,functional_group,8,0.96505,0.570652,0.825437,0.78384,0.638101,0.145738,0.959419,0.534747,-0.034382,-0.036815,0.296553,0.45,0.5,0.5,20
meta-llama-Llama-3.1-8B,functional_group,16,0.950214,0.600058,0.814001,0.812415,0.659876,0.152539,0.942675,0.570755,-0.037061,-0.033904,0.259301,0.8,0.888889,0.6,20
meta-llama-Llama-3.1-8B,functional_group,24,0.858963,0.551264,0.8141,0.882977,0.543766,0.339211,0.950376,0.770474,-0.045633,-0.042649,0.288575,0.75,0.833333,0.4,20
meta-llama-Llama-3.1-8B,functional_group,31,0.944186,0.468849,0.759511,0.85353,0.448582,0.404948,0.955948,0.754205,-0.044123,-0.041744,0.254701,0.8,0.888889,0.25,20
phenixace-Chem-R-Faithful,functional_group,0,0.985588,0.509395,0.889901,0.812265,0.630146,0.182119,0.974038,0.665275,-0.007553,-0.012342,0.333033,0.4,0.444444,0.45,20
phenixace-Chem-R-Faithful,functional_group,8,0.951578,0.574645,0.786303,0.83109,0.627776,0.203314,0.945914,0.630394,-0.038438,-0.042125,0.256222,0.7,0.777778,0.45,20
phenixace-Chem-R-Faithful,functional_group,16,0.895646,0.611897,0.795664,0.88778,0.646039,0.241741,0.952228,0.725428,-0.042496,-0.041825,0.234735,0.8,0.888889,0.6,20
phenixace-Chem-R-Faithful,functional_group,24,0.588501,0.411691,0.664192,0.78744,0.456161,0.331279,0.812824,0.647667,-0.040282,-0.039203,0.214126,0.9,1.0,0.7,20
phenixace-Chem-R-Faithful,functional_group,31,0.67577,0.35342,0.595306,0.7496,0.403314,0.346286,0.741896,0.616307,-0.039068,-0.03845,0.169514,0.8,0.888889,0.65,20
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,0,0.98765,0.506555,0.826428,0.834133,0.51232,0.321813,0.976086,0.723808,-0.028137,-0.031917,0.303242,0.5,0.555556,0.45,20
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,8,0.951512,0.57952,0.801579,0.786552,0.660969,0.125584,0.947767,0.50876,-0.033638,-0.036143,0.259094,0.6,0.666667,0.35,20
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,16,0.923845,0.549693,0.763735,0.831738,0.589612,0.242126,0.937322,0.652159,-0.040737,-0.038353,0.233082,0.8,0.888889,0.6,20
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,0.648547,0.455998,0.736595,0.879123,0.442521,0.436602,0.896017,0.795545,-0.046248,-0.043723,0.241631,0.7,0.777778,0.55,20
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,0.805683,0.421157,0.69149,0.832337,0.420667,0.41167,0.891698,0.73558,-0.043789,-0.042548,0.21107,0.6,0.666667,0.7,20
