model,entity_type,axis,layer,hit1,hit1_ex_sulfoxide,hit3,random_hit1,degenerate_rate,n_trials,n_groups
meta-llama-Llama-3.1-8B,functional_group,inter_group,0,0.6,0.666667,0.9,0.061765,0.35,20,13
meta-llama-Llama-3.1-8B,functional_group,inter_group,8,0.45,0.5,0.75,0.061765,0.5,20,13
meta-llama-Llama-3.1-8B,functional_group,inter_group,16,0.8,0.888889,0.85,0.061765,0.6,20,13
meta-llama-Llama-3.1-8B,functional_group,inter_group,24,0.75,0.833333,0.95,0.061765,0.4,20,13
meta-llama-Llama-3.1-8B,functional_group,inter_group,31,0.8,0.888889,1.0,0.061765,0.25,20,13
meta-llama-Llama-3.1-8B,functional_group,halide,0,0.333333,0.333333,0.666667,0.060049,0.666667,12,4
meta-llama-Llama-3.1-8B,functional_group,halide,8,0.333333,0.333333,0.583333,0.060049,0.666667,12,4
meta-llama-Llama-3.1-8B,functional_group,halide,16,0.416667,0.416667,0.833333,0.060049,0.75,12,4
meta-llama-Llama-3.1-8B,functional_group,halide,24,0.583333,0.583333,1.0,0.060049,0.666667,12,4
meta-llama-Llama-3.1-8B,functional_group,halide,31,0.5,0.5,0.583333,0.060049,0.75,12,4
meta-llama-Llama-3.1-8B,functional_group,carbon_ladder,0,0.188596,0.199074,0.403509,0.013575,0.635965,228,19
meta-llama-Llama-3.1-8B,functional_group,carbon_ladder,8,0.096491,0.101852,0.263158,0.013575,0.767544,228,19
meta-llama-Llama-3.1-8B,functional_group,carbon_ladder,16,0.201754,0.212963,0.609649,0.013575,0.785088,228,19
meta-llama-Llama-3.1-8B,functional_group,carbon_ladder,24,0.45614,0.481481,0.785088,0.013575,0.75,228,19
meta-llama-Llama-3.1-8B,functional_group,carbon_ladder,31,0.54386,0.574074,0.881579,0.013575,0.77193,228,19
phenixace-Chem-R-Faithful,functional_group,inter_group,0,0.4,0.444444,0.8,0.061765,0.45,20,13
phenixace-Chem-R-Faithful,functional_group,inter_group,8,0.7,0.777778,0.85,0.061765,0.45,20,13
phenixace-Chem-R-Faithful,functional_group,inter_group,16,0.8,0.888889,0.9,0.061765,0.6,20,13
phenixace-Chem-R-Faithful,functional_group,inter_group,24,0.9,1.0,0.9,0.061765,0.7,20,13
phenixace-Chem-R-Faithful,functional_group,inter_group,31,0.8,0.888889,0.9,0.061765,0.65,20,13
phenixace-Chem-R-Faithful,functional_group,halide,0,0.416667,0.416667,0.666667,0.060049,0.666667,12,4
phenixace-Chem-R-Faithful,functional_group,halide,8,0.666667,0.666667,1.0,0.060049,0.75,12,4
phenixace-Chem-R-Faithful,functional_group,halide,16,0.666667,0.666667,1.0,0.060049,0.833333,12,4
phenixace-Chem-R-Faithful,functional_group,halide,24,0.666667,0.666667,1.0,0.060049,0.833333,12,4
phenixace-Chem-R-Faithful,functional_group,halide,31,0.666667,0.666667,0.833333,0.060049,0.75,12,4
phenixace-Chem-R-Faithful,functional_group,carbon_ladder,0,0.166667,0.175926,0.342105,0.013575,0.592105,228,19
phenixace-Chem-R-Faithful,functional_group,carbon_ladder,8,0.258772,0.273148,0.570175,0.013575,0.780702,228,19
phenixace-Chem-R-Faithful,functional_group,carbon_ladder,16,0.517544,0.509259,0.802632,0.013575,0.723684,228,19
phenixace-Chem-R-Faithful,functional_group,carbon_ladder,24,0.324561,0.342593,0.583333,0.013575,0.70614,228,19
phenixace-Chem-R-Faithful,functional_group,carbon_ladder,31,0.412281,0.430556,0.671053,0.013575,0.736842,228,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,inter_group,0,0.5,0.555556,0.9,0.061765,0.45,20,13
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,inter_group,8,0.6,0.666667,0.8,0.061765,0.35,20,13
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,inter_group,16,0.8,0.888889,0.9,0.061765,0.6,20,13
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,inter_group,24,0.7,0.777778,0.9,0.061765,0.55,20,13
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,inter_group,31,0.6,0.666667,0.9,0.061765,0.7,20,13
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,halide,0,0.333333,0.333333,0.833333,0.060049,0.75,12,4
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,halide,8,0.416667,0.416667,0.75,0.060049,0.75,12,4
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,halide,16,0.5,0.5,1.0,0.060049,0.666667,12,4
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,halide,24,0.666667,0.666667,1.0,0.060049,0.75,12,4
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,halide,31,0.5,0.5,0.833333,0.060049,0.75,12,4
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,carbon_ladder,0,0.184211,0.194444,0.399123,0.013575,0.644737,228,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,carbon_ladder,8,0.074561,0.078704,0.254386,0.013575,0.710526,228,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,carbon_ladder,16,0.460526,0.486111,0.701754,0.013575,0.723684,228,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,carbon_ladder,24,0.548246,0.569444,0.833333,0.013575,0.697368,228,19
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,carbon_ladder,31,0.635965,0.671296,0.894737,0.013575,0.732456,228,19
