model,entity_type,tag,layer,true_class,pred_class,n,n_true_total,rate
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,nitrogen,oxygen,103,240,0.429167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,sulfur,oxygen,74,200,0.37
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,oxygen,nitrogen,62,280,0.221429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,oxygen,sulfur,60,280,0.214286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,oxygen,halide,39,280,0.139286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,sulfur,nitrogen,33,200,0.165
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,nitrogen,halide,26,240,0.108333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,oxygen,hydrocarbon,16,280,0.057143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,nitrogen,hydrocarbon,14,240,0.058333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,sulfur,halide,13,200,0.065
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,0,halide,oxygen,8,160,0.05
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,oxygen,nitrogen,126,280,0.45
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,nitrogen,oxygen,105,240,0.4375
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,sulfur,nitrogen,58,200,0.29
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,sulfur,oxygen,45,200,0.225
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,nitrogen,hydrocarbon,38,240,0.158333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,oxygen,halide,30,280,0.107143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,oxygen,sulfur,29,280,0.103571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,oxygen,hydrocarbon,17,280,0.060714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,nitrogen,sulfur,9,240,0.0375
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,sulfur,halide,4,200,0.02
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,1,nitrogen,halide,1,240,0.004167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,oxygen,nitrogen,121,280,0.432143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,nitrogen,oxygen,113,240,0.470833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,sulfur,nitrogen,77,200,0.385
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,oxygen,sulfur,34,280,0.121429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,oxygen,halide,30,280,0.107143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,nitrogen,hydrocarbon,29,240,0.120833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,oxygen,hydrocarbon,17,280,0.060714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,nitrogen,sulfur,15,240,0.0625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,sulfur,oxygen,9,200,0.045
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,sulfur,halide,4,200,0.02
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,2,halide,oxygen,3,160,0.01875
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,nitrogen,oxygen,135,240,0.5625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,oxygen,nitrogen,78,280,0.278571
