model,entity_type,layer,n_total_errors,n_nitrogen_to_oxygen,share_nitrogen_to_oxygen
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,0,448,103,0.229911
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,1,462,105,0.227273
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,2,452,113,0.25
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,3,395,135,0.341772
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,4,370,126,0.340541
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,5,355,125,0.352113
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,6,323,104,0.321981
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,7,327,104,0.318043
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,8,344,112,0.325581
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,9,340,110,0.323529
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,10,335,107,0.319403
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,11,344,107,0.311047
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,12,312,95,0.304487
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,13,322,96,0.298137
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,14,306,91,0.297386
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,15,285,84,0.294737
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,16,132,53,0.401515
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,17,148,44,0.297297
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,18,100,37,0.37
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,19,51,26,0.509804
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,20,47,21,0.446809
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,21,40,25,0.625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,22,51,38,0.745098
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,23,66,46,0.69697
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,51,35,0.686275
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,25,46,34,0.73913
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,26,46,35,0.76087
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,27,51,40,0.784314
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,28,43,32,0.744186
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,29,37,28,0.756757
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,30,38,33,0.868421
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,41,37,0.902439
meta-llama-Llama-3.1-8B,functional_group,0,483,81,0.167702
meta-llama-Llama-3.1-8B,functional_group,1,460,147,0.319565
meta-llama-Llama-3.1-8B,functional_group,2,518,153,0.295367
meta-llama-Llama-3.1-8B,functional_group,3,429,110,0.25641
meta-llama-Llama-3.1-8B,functional_group,4,374,94,0.251337
meta-llama-Llama-3.1-8B,functional_group,5,365,83,0.227397
meta-llama-Llama-3.1-8B,functional_group,6,363,75,0.206612
meta-llama-Llama-3.1-8B,functional_group,7,367,108,0.294278
meta-llama-Llama-3.1-8B,functional_group,8,351,98,0.279202
meta-llama-Llama-3.1-8B,functional_group,9,309,85,0.275081
meta-llama-Llama-3.1-8B,functional_group,10,305,91,0.298361
meta-llama-Llama-3.1-8B,functional_group,11,275,67,0.243636
meta-llama-Llama-3.1-8B,functional_group,12,238,44,0.184874
meta-llama-Llama-3.1-8B,functional_group,13,226,45,0.199115
meta-llama-Llama-3.1-8B,functional_group,14,212,24,0.113208
meta-llama-Llama-3.1-8B,functional_group,15,191,17,0.089005
meta-llama-Llama-3.1-8B,functional_group,16,78,16,0.205128
meta-llama-Llama-3.1-8B,functional_group,17,61,10,0.163934
meta-llama-Llama-3.1-8B,functional_group,18,44,7,0.159091
meta-llama-Llama-3.1-8B,functional_group,19,24,0,0.0
meta-llama-Llama-3.1-8B,functional_group,20,20,0,0.0
meta-llama-Llama-3.1-8B,functional_group,21,4,0,0.0
meta-llama-Llama-3.1-8B,functional_group,22,5,2,0.4
meta-llama-Llama-3.1-8B,functional_group,23,5,1,0.2
meta-llama-Llama-3.1-8B,functional_group,24,2,0,0.0
meta-llama-Llama-3.1-8B,functional_group,25,1,0,0.0
meta-llama-Llama-3.1-8B,functional_group,26,2,0,0.0
meta-llama-Llama-3.1-8B,functional_group,27,2,0,0.0
