model,entity_type,family,layer,balanced_acc
meta-llama-Llama-3.1-8B,functional_group,declarative,0,0.4955952380952381
meta-llama-Llama-3.1-8B,functional_group,declarative,1,0.5348214285714286
meta-llama-Llama-3.1-8B,functional_group,declarative,2,0.47065476190476185
meta-llama-Llama-3.1-8B,functional_group,declarative,3,0.5501785714285714
meta-llama-Llama-3.1-8B,functional_group,declarative,4,0.6014136904761905
meta-llama-Llama-3.1-8B,functional_group,declarative,5,0.6094345238095238
meta-llama-Llama-3.1-8B,functional_group,declarative,6,0.6100000000000001
meta-llama-Llama-3.1-8B,functional_group,declarative,7,0.6067261904761905
meta-llama-Llama-3.1-8B,functional_group,declarative,8,0.6244494047619048
meta-llama-Llama-3.1-8B,functional_group,declarative,9,0.6633035714285714
meta-llama-Llama-3.1-8B,functional_group,declarative,10,0.6660863095238095
meta-llama-Llama-3.1-8B,functional_group,declarative,11,0.6979910714285714
meta-llama-Llama-3.1-8B,functional_group,declarative,12,0.7373511904761905
meta-llama-Llama-3.1-8B,functional_group,declarative,13,0.7511904761904761
meta-llama-Llama-3.1-8B,functional_group,declarative,14,0.766547619047619
meta-llama-Llama-3.1-8B,functional_group,declarative,15,0.7910267857142856
meta-llama-Llama-3.1-8B,functional_group,declarative,16,0.9237797619047619
meta-llama-Llama-3.1-8B,functional_group,declarative,17,0.9420535714285715
meta-llama-Llama-3.1-8B,functional_group,declarative,18,0.9581547619047619
meta-llama-Llama-3.1-8B,functional_group,declarative,19,0.9765476190476191
meta-llama-Llama-3.1-8B,functional_group,declarative,20,0.9816964285714286
meta-llama-Llama-3.1-8B,functional_group,declarative,21,0.9961309523809524
meta-llama-Llama-3.1-8B,functional_group,declarative,22,0.994732142857143
meta-llama-Llama-3.1-8B,functional_group,declarative,23,0.9945238095238096
meta-llama-Llama-3.1-8B,functional_group,declarative,24,0.9980654761904761
meta-llama-Llama-3.1-8B,functional_group,declarative,25,0.9991071428571429
meta-llama-Llama-3.1-8B,functional_group,declarative,26,0.9982142857142857
meta-llama-Llama-3.1-8B,functional_group,declarative,27,0.9982142857142857
meta-llama-Llama-3.1-8B,functional_group,declarative,28,0.9978571428571429
meta-llama-Llama-3.1-8B,functional_group,declarative,29,1.0
meta-llama-Llama-3.1-8B,functional_group,declarative,30,1.0
meta-llama-Llama-3.1-8B,functional_group,declarative,31,0.9975446428571428
phenixace-Chem-R-Faithful,functional_group,declarative,0,0.5450446428571428
phenixace-Chem-R-Faithful,functional_group,declarative,1,0.6422321428571428
phenixace-Chem-R-Faithful,functional_group,declarative,2,0.6264434523809523
phenixace-Chem-R-Faithful,functional_group,declarative,3,0.6745238095238095
phenixace-Chem-R-Faithful,functional_group,declarative,4,0.6919345238095238
phenixace-Chem-R-Faithful,functional_group,declarative,5,0.6811904761904761
phenixace-Chem-R-Faithful,functional_group,declarative,6,0.695952380952381
phenixace-Chem-R-Faithful,functional_group,declarative,7,0.6673214285714286
phenixace-Chem-R-Faithful,functional_group,declarative,8,0.6706845238095239
phenixace-Chem-R-Faithful,functional_group,declarative,9,0.6802827380952381
phenixace-Chem-R-Faithful,functional_group,declarative,10,0.704047619047619
phenixace-Chem-R-Faithful,functional_group,declarative,11,0.7429761904761905
phenixace-Chem-R-Faithful,functional_group,declarative,12,0.7342857142857143
phenixace-Chem-R-Faithful,functional_group,declarative,13,0.7241666666666667
phenixace-Chem-R-Faithful,functional_group,declarative,14,0.745922619047619
phenixace-Chem-R-Faithful,functional_group,declarative,15,0.756875
phenixace-Chem-R-Faithful,functional_group,declarative,16,0.8397321428571429
phenixace-Chem-R-Faithful,functional_group,declarative,17,0.8647916666666666
phenixace-Chem-R-Faithful,functional_group,declarative,18,0.9667559523809524
phenixace-Chem-R-Faithful,functional_group,declarative,19,0.9825595238095238
phenixace-Chem-R-Faithful,functional_group,declarative,20,0.974672619047619
phenixace-Chem-R-Faithful,functional_group,declarative,21,0.9655654761904762
