entity_type,family,layer_8b,layer_70b,bacc_8b,bacc_70b,diff_8b_minus_70b,ci_lo,ci_hi,ci_excludes_zero
avg_carbon_oxidation_state,declarative,22,37,0.969237012987013,0.949702380952381,0.019534632034632016,-0.005555762441107131,0.046183347288150316,0
avg_carbon_oxidation_state question,question,30,79,0.880275974025974,0.8535714285714286,0.02670454545454537,-0.005325517830020751,0.06119758820835372,0
boiling_point_c,declarative,21,45,0.9385416666666667,0.9990079365079365,-0.06046626984126979,-0.10377303000767923,-0.024228698301162057,1
boiling_point_c question,question,31,79,0.8471395502645503,0.8097883597883598,0.03735119047619051,-0.008175609823519326,0.0838250931603453,0
functional_group,declarative,27,79,0.9973214285714286,0.9619196428571428,0.03540178571428576,0.015900351633393827,0.05864624255952373,1
functional_group question,question,30,76,0.9382589285714285,0.9252083333333333,0.013050595238095153,-0.0052460937499999435,0.030555668016194325,0
functional_group_structure,declarative,24,79,0.9864795918367347,0.9588010204081633,0.02767857142857144,0.01207477542298965,0.04463789682539695,1
functional_group_structure question,question,31,79,0.8783801020408163,0.8980017006802721,-0.019621598639455784,-0.0711288925857424,0.03300517347627306,0
hba,declarative,31,57,0.9434523809523809,0.978452380952381,-0.03500000000000003,-0.06325759526931411,-0.009721901260504196,1
hba question,question,31,79,0.8405952380952381,0.8130952380952381,0.02749999999999997,-0.008446997145366692,0.0622740588659705,0
hbd,declarative,31,57,0.9298660714285715,0.9560416666666667,-0.026175595238095206,-0.042832811714429306,-0.010092379619658663,1
hbd question,question,31,79,0.8403422619047619,0.7998214285714286,0.04052083333333334,0.010053085553766284,0.07104209515974229,1
molecule,bare,31,24,0.817397186147186,0.855384199134199,-0.037987012987013014,-0.10022734036796525,0.02084730362091677,0
molecule_formula_bare,bare,20,72,0.6879464285714286,0.6723214285714286,0.015625,-0.05080645161290309,0.08021683674558289,0
molecule_name_bare,bare,22,46,0.8194940476190476,0.7761904761904763,0.04330357142857133,-0.012255449054621805,0.1007915843214755,0
pka,declarative,22,22,0.9795725108225108,0.9333333333333333,0.046239177489177496,0.014348526494328478,0.08314145025236809,1
pka question,question,30,79,0.8822240259740259,0.8534361471861472,0.028787878787878696,-0.004582355888168951,0.06397670535922595,0
pkah,declarative,31,37,0.9548295454545453,0.9366071428571429,0.018222402597402487,-0.0028753199244060776,0.04330847749097993,0
pkah question,question,31,79,0.8681547619047618,0.8101325757575757,0.05802218614718613,0.01574088886369915,0.10028001840425238,1
tpsa,declarative,19,37,0.9701569264069264,0.9804924242424242,-0.010335497835497809,-0.03030136895268469,0.005975921220486429,0
tpsa question,question,31,79,0.8111336580086579,0.803125,0.00800865800865791,-0.0323023504908517,0.050879719656457656,0
water_solubility,declarative,16,41,0.8919940476190477,0.9436309523809523,-0.051636904761904634,-0.08208452698668224,-0.022574940250721563,1
water_solubility question,question,30,79,0.8143154761904762,0.7649255952380953,0.04938988095238084,0.006470962507788636,0.09076635925751877,1
