model,entity_type,family,n_layers,best,best_layer,best_depth,last,drop_best_minus_last,final_step,peak_is_final,max_jump,max_jump_layer,max_jump_depth,layer_90,layer_90_depth
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state,declarative,32,0.969237012987013,22,0.7096774193548387,0.9422348484848485,0.027002164502164527,-0.0023809523809523725,0,0.11571969696969697,3,0.0967741935483871,16,0.5161290322580645
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state question,question,32,0.880275974025974,30,0.967741935483871,0.8671266233766235,0.013149350649350522,-0.013149350649350522,0,0.10025703463203461,7,0.22580645161290322,24,0.7741935483870968
meta-llama-Llama-3.1-8B,boiling_point_c,declarative,32,0.9385416666666667,21,0.6774193548387096,0.7943452380952382,0.14419642857142856,-0.029580026455026442,0,0.11681547619047628,3,0.0967741935483871,16,0.5161290322580645
meta-llama-Llama-3.1-8B,boiling_point_c question,question,32,0.8471395502645503,31,1.0,0.8471395502645503,0.0,0.015790343915343952,1,0.07709986772486765,7,0.22580645161290322,29,0.9354838709677419
meta-llama-Llama-3.1-8B,functional_group,declarative,32,0.9973214285714286,27,0.8709677419354839,0.9921875,0.005133928571428581,-0.004464285714285698,0,0.147767857142857,16,0.5161290322580645,19,0.6129032258064516
meta-llama-Llama-3.1-8B,functional_group question,question,32,0.9382589285714285,30,0.967741935483871,0.9310416666666668,0.007217261904761685,-0.007217261904761685,0,0.09133928571428573,16,0.5161290322580645,21,0.6774193548387096
meta-llama-Llama-3.1-8B,functional_group_structure,declarative,32,0.9864795918367347,24,0.7741935483870968,0.9654336734693878,0.021045918367346927,-0.021045918367346927,0,0.19902210884353755,16,0.5161290322580645,19,0.6129032258064516
meta-llama-Llama-3.1-8B,functional_group_structure question,question,32,0.8783801020408163,31,1.0,0.8783801020408163,0.0,0.00688775510204076,1,0.10510204081632651,7,0.22580645161290322,24,0.7741935483870968
meta-llama-Llama-3.1-8B,hba,declarative,32,0.9434523809523809,31,1.0,0.9434523809523809,0.0,0.025535714285714328,1,0.10180059523809526,16,0.5161290322580645,16,0.5161290322580645
meta-llama-Llama-3.1-8B,hba question,question,32,0.8405952380952381,31,1.0,0.8405952380952381,0.0,0.02172619047619051,1,0.09839285714285717,1,0.03225806451612903,30,0.967741935483871
meta-llama-Llama-3.1-8B,hbd,declarative,32,0.9298660714285715,31,1.0,0.9298660714285715,0.0,0.03135416666666668,1,0.0731101190476191,16,0.5161290322580645,16,0.5161290322580645
meta-llama-Llama-3.1-8B,hbd question,question,32,0.8403422619047619,31,1.0,0.8403422619047619,0.0,0.0059672619047619335,1,0.10736607142857146,1,0.03225806451612903,29,0.9354838709677419
meta-llama-Llama-3.1-8B,molecule,bare,32,0.817397186147186,31,1.0,0.817397186147186,0.0,0.008766233766233644,1,0.09381764069264076,2,0.06451612903225806,21,0.6774193548387096
meta-llama-Llama-3.1-8B,molecule_formula_bare,bare,32,0.6879464285714286,20,0.6451612903225806,0.5879464285714286,0.09999999999999998,-0.07291666666666663,0,0.043749999999999956,19,0.6129032258064516,20,0.6451612903225806
meta-llama-Llama-3.1-8B,molecule_name_bare,bare,32,0.8194940476190476,22,0.7096774193548387,0.7480654761904763,0.0714285714285714,0.01041666666666674,0,0.09107142857142858,1,0.03225806451612903,16,0.5161290322580645
meta-llama-Llama-3.1-8B,pka,declarative,32,0.9795725108225108,22,0.7096774193548387,0.9574269480519482,0.022145562770562677,-0.005424783549783485,0,0.09751082251082255,5,0.16129032258064516,18,0.5806451612903226
meta-llama-Llama-3.1-8B,pka question,question,32,0.8822240259740259,30,0.967741935483871,0.8793290043290044,0.002895021645021534,-0.002895021645021534,0,0.08925865800865806,21,0.6774193548387096,28,0.9032258064516129
meta-llama-Llama-3.1-8B,pkah,declarative,32,0.9548295454545453,31,1.0,0.9548295454545453,0.0,0.008576839826839766,1,0.08725649350649345,6,0.1935483870967742,16,0.5161290322580645
meta-llama-Llama-3.1-8B,pkah question,question,32,0.8681547619047618,31,1.0,0.8681547619047618,0.0,0.0016369047619047006,1,0.10075757575757582,21,0.6774193548387096,29,0.9354838709677419
meta-llama-Llama-3.1-8B,tpsa,declarative,32,0.9701569264069264,19,0.6129032258064516,0.8511093073593073,0.11904761904761907,-0.053652597402597424,0,0.09890422077922079,3,0.0967741935483871,16,0.5161290322580645
meta-llama-Llama-3.1-8B,tpsa question,question,32,0.8111336580086579,31,1.0,0.8111336580086579,0.0,0.00933441558441539,1,0.07869318181818186,29,0.9354838709677419,29,0.9354838709677419
meta-llama-Llama-3.1-8B,water_solubility,declarative,32,0.8919940476190477,16,0.5161290322580645,0.8026041666666667,0.08938988095238098,-0.04461309523809531,0,0.09479166666666672,14,0.45161290322580644,16,0.5161290322580645
meta-llama-Llama-3.1-8B,water_solubility question,question,32,0.8143154761904762,30,0.967741935483871,0.8086011904761905,0.005714285714285672,-0.005714285714285672,0,0.09578869047619054,21,0.6774193548387096,29,0.9354838709677419
