model,entity_type,layer,group_a,group_b,cosine_sim,same_naming,same_reactivity
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,aldehyde,0.397719,1,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,alkyl bromide,0.65859,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,alkyl chloride,0.662151,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,alkyl fluoride,0.791347,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,alkyl iodide,0.667117,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,amide,0.393538,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,amine,0.9462,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,carboxylic acid,0.491542,1,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,ester,0.497466,1,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,ether,0.678082,1,1
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,imine,0.5356,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,ketone,0.503612,1,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,nitrile,0.165678,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,nitro,0.424686,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,sulfone,0.574082,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,sulfoxide,0.504025,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,thioether,0.646723,0,1
meta-llama-Llama-3.1-8B,functional_group,0,alcohol,thiol,0.903746,0,1
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,alkyl bromide,0.319645,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,alkyl chloride,0.375689,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,alkyl fluoride,0.412761,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,alkyl iodide,0.354263,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,amide,0.735578,0,1
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,amine,0.42384,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,carboxylic acid,0.680199,1,1
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,ester,0.449618,1,1
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,ether,0.256975,1,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,imine,0.67255,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,ketone,0.471678,1,1
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,nitrile,0.24728,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,nitro,0.628651,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,sulfone,0.582377,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,sulfoxide,0.445707,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,thioether,0.245627,0,0
meta-llama-Llama-3.1-8B,functional_group,0,aldehyde,thiol,0.359982,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,alkyl chloride,0.886883,1,1
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,alkyl fluoride,0.879151,1,1
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,alkyl iodide,0.831686,1,1
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,amide,0.33122,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,amine,0.668985,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,carboxylic acid,0.382107,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,ester,0.424626,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,ether,0.808453,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,imine,0.448283,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,ketone,0.362493,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,nitrile,0.151913,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,nitro,0.338316,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,sulfone,0.488735,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,sulfoxide,0.442862,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,thioether,0.679242,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl bromide,thiol,0.671209,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,alkyl fluoride,0.889716,1,1
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,alkyl iodide,0.841374,1,1
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,amide,0.432841,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,amine,0.684162,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,carboxylic acid,0.515579,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,ester,0.515896,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,ether,0.841642,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,imine,0.529321,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,ketone,0.409761,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,nitrile,0.153406,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,nitro,0.40428,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,sulfone,0.599868,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,sulfoxide,0.537039,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,thioether,0.792413,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl chloride,thiol,0.653772,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,alkyl iodide,0.892135,1,1
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,amide,0.384289,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,amine,0.795279,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,carboxylic acid,0.436437,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,ester,0.473871,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,ether,0.824331,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,imine,0.535576,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,ketone,0.439145,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,nitrile,0.178735,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,nitro,0.462854,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,sulfone,0.54717,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,sulfoxide,0.494992,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,thioether,0.690255,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl fluoride,thiol,0.741818,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,amide,0.334128,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,amine,0.679636,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,carboxylic acid,0.367551,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,ester,0.421077,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,ether,0.833795,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,imine,0.434785,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,ketone,0.361925,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,nitrile,0.167979,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,nitro,0.387307,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,sulfone,0.480517,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,sulfoxide,0.43848,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,thioether,0.656011,0,0
meta-llama-Llama-3.1-8B,functional_group,0,alkyl iodide,thiol,0.650388,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amide,amine,0.498869,1,0
meta-llama-Llama-3.1-8B,functional_group,0,amide,carboxylic acid,0.909892,0,1
meta-llama-Llama-3.1-8B,functional_group,0,amide,ester,0.516177,0,1
meta-llama-Llama-3.1-8B,functional_group,0,amide,ether,0.307441,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amide,imine,0.747964,1,0
meta-llama-Llama-3.1-8B,functional_group,0,amide,ketone,0.479334,0,1
meta-llama-Llama-3.1-8B,functional_group,0,amide,nitrile,0.178006,1,0
