model,entity_type,layer,partition,observed,null_mean,null_sd,z_vs_null,p_perm,n_perm,seed
meta-llama-Llama-3.1-8B,functional_group,0,naming,0.295724,-0.00556,0.155122,1.9422,0.045,2000,0
meta-llama-Llama-3.1-8B,functional_group,0,reactivity,0.829429,0.00964,0.180778,4.5348,0.0,2000,0
meta-llama-Llama-3.1-8B,functional_group,8,naming,0.512771,-0.000237,0.184517,2.7803,0.0135,2000,0
meta-llama-Llama-3.1-8B,functional_group,8,reactivity,1.01877,-0.00318,0.202373,5.0498,0.0,2000,0
meta-llama-Llama-3.1-8B,functional_group,16,naming,0.973453,-0.004344,0.174506,5.6032,0.0,2000,0
meta-llama-Llama-3.1-8B,functional_group,16,reactivity,1.233435,0.00033,0.190055,6.4882,0.0,2000,0
meta-llama-Llama-3.1-8B,functional_group,24,naming,1.646436,-0.001938,0.1817,9.0719,0.0,2000,0
meta-llama-Llama-3.1-8B,functional_group,24,reactivity,1.649927,-0.009124,0.193571,8.5708,0.0,2000,0
meta-llama-Llama-3.1-8B,functional_group,31,naming,1.748379,0.001312,0.176456,9.9009,0.0,2000,0
meta-llama-Llama-3.1-8B,functional_group,31,reactivity,1.542933,0.002511,0.193528,7.9597,0.0,2000,0
phenixace-Chem-R-Faithful,functional_group,0,naming,0.334182,0.002871,0.128963,2.569,0.0105,2000,0
phenixace-Chem-R-Faithful,functional_group,0,reactivity,0.578936,0.003787,0.148783,3.8657,0.001,2000,0
phenixace-Chem-R-Faithful,functional_group,8,naming,0.761515,0.003234,0.185692,4.0835,0.001,2000,0
phenixace-Chem-R-Faithful,functional_group,8,reactivity,1.161832,-0.00311,0.202634,5.749,0.0,2000,0
phenixace-Chem-R-Faithful,functional_group,16,naming,0.963292,0.002997,0.189208,5.0753,0.0,2000,0
phenixace-Chem-R-Faithful,functional_group,16,reactivity,1.385907,0.003547,0.199429,6.9316,0.0,2000,0
phenixace-Chem-R-Faithful,functional_group,24,naming,1.31379,-0.00077,0.188538,6.9724,0.0,2000,0
phenixace-Chem-R-Faithful,functional_group,24,reactivity,1.680695,-0.004588,0.205133,8.2156,0.0,2000,0
phenixace-Chem-R-Faithful,functional_group,31,naming,1.473883,0.002988,0.193962,7.5834,0.0,2000,0
phenixace-Chem-R-Faithful,functional_group,31,reactivity,1.74196,-0.005788,0.205822,8.4915,0.0,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,0,naming,0.36512,-6.1e-05,0.151508,2.4103,0.0175,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,0,reactivity,0.729812,0.001826,0.171546,4.2437,0.0,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,8,naming,0.689069,8.1e-05,0.17387,3.9627,0.002,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,8,reactivity,1.05462,-0.003557,0.193142,5.4788,0.0,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,16,naming,1.138933,-0.000382,0.18196,6.2614,0.0,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,16,reactivity,1.479831,-0.005748,0.19734,7.528,0.0,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,naming,1.450229,0.001581,0.183908,7.877,0.0,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,24,reactivity,1.602738,0.008886,0.203691,7.8249,0.0,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,naming,1.609891,7e-06,0.186128,8.6493,0.0,2000,0
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,31,reactivity,1.608015,-0.008954,0.199466,8.1065,0.0,2000,0
