model,entity_type,layer,depth,raw_pairwise_cos,cent_within,cent_between,cent_gap,n_templates,n_points,tsne_verdict,diffvec_cumvar_k1,diffvec_cumvar_k2,diffvec_cumvar_k3,diffvec_cumvar_k5,diffvec_cumvar_k10
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state,0,0.0,0.9926987713282038,0.7636096718018515,-0.000982514416023815,0.7645921862178753,11,1012,,0.619987964630127,0.7327300906181335,0.8283858299255371,0.9115204811096191,0.9637116193771362
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state,8,0.2581,0.987942985923337,0.6082245655027995,-0.03457050983240805,0.6427950753352075,11,1012,,0.5804547667503357,0.6539056301116943,0.7129251956939697,0.7987858653068542,0.8904152512550354
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state,16,0.5161,0.9721438222477098,0.7030740764580274,-0.042264036640881915,0.7453381130989094,11,1012,mixed,0.6043896079063416,0.6848414540290833,0.7356349229812622,0.7998736500740051,0.8972421288490295
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state,24,0.7742,0.9198947772419287,0.7604111448714608,-0.04369478933799735,0.8041059342094581,11,1012,,0.6328873038291931,0.7211579084396362,0.7946721315383911,0.8541519641876221,0.9296631217002869
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state,31,1.0,0.9785230974375319,0.717840841726253,-0.04254750091482168,0.7603883426410747,11,1012,,0.726950466632843,0.8012558221817017,0.8369132280349731,0.8898507356643677,0.9443220496177673
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state question,0,0.0,0.9743216033905702,0.6945915620839387,-0.0034403710492316823,0.6980319331331704,11,1012,,0.5068596005439758,0.6965523958206177,0.8063200116157532,0.8862699270248413,0.9556682705879211
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state question,8,0.2581,0.9817011644124871,0.6342086841662725,-0.0336403312986172,0.6678490154648897,11,1012,,0.5757999420166016,0.6695289611816406,0.7295102477073669,0.8238963484764099,0.9106062054634094
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state question,16,0.5161,0.98108570798128,0.6542346237652135,-0.036718082236599454,0.6909527060018129,11,1012,,0.72122722864151,0.7881653904914856,0.8441455960273743,0.8957669138908386,0.9529467225074768
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state question,24,0.7742,0.983314350681674,0.6769618549090075,-0.03772414593509489,0.7146860008441024,11,1012,,0.7298622727394104,0.7922446727752686,0.8481290340423584,0.9006633162498474,0.9520863890647888
meta-llama-Llama-3.1-8B,avg_carbon_oxidation_state question,31,1.0,0.9832018303261724,0.6447210149806842,-0.033409887868391074,0.6781309028490753,11,1012,,0.6820278167724609,0.746304988861084,0.7927597761154175,0.8548175096511841,0.9310392141342163
meta-llama-Llama-3.1-8B,boiling_point_c,0,0.0,0.9909765198648802,0.7425667586033804,-0.007531532495959893,0.7500982910993403,9,828,,0.6202626824378967,0.7264798879623413,0.8286246657371521,0.9086182713508606,0.9619960188865662
meta-llama-Llama-3.1-8B,boiling_point_c,8,0.2581,0.9813639629957953,0.48099074035621525,-0.03290237762047321,0.5138931179766885,9,828,,0.5933592319488525,0.6727795004844666,0.7293398976325989,0.8004845976829529,0.8866703510284424
meta-llama-Llama-3.1-8B,boiling_point_c,16,0.5161,0.9285686422322734,0.5929158014294348,-0.03716658585186951,0.6300823872813043,9,828,,0.6505882740020752,0.7343671917915344,0.7859146595001221,0.8477814793586731,0.9242498874664307
meta-llama-Llama-3.1-8B,boiling_point_c,24,0.7742,0.7250757166645029,0.08725033528549318,-0.015770895118607794,0.10302123040410098,9,828,,0.5358635783195496,0.6761525869369507,0.764159083366394,0.8580409288406372,0.9323187470436096
meta-llama-Llama-3.1-8B,boiling_point_c,31,1.0,0.9222681660203346,0.4859593964984493,-0.022643449942399075,0.5086028464408484,9,828,,0.950977623462677,0.9635579586029053,0.9715615510940552,0.9816760420799255,0.9911625385284424
meta-llama-Llama-3.1-8B,boiling_point_c question,0,0.0,0.9659196940325004,0.7234566857417425,-0.0005541863891051578,0.7240108721308477,9,828,,0.4978537857532501,0.7218613028526306,0.8243393301963806,0.8953010439872742,0.9585473537445068
meta-llama-Llama-3.1-8B,boiling_point_c question,8,0.2581,0.972526529119508,0.5948175678127691,-0.0334534064540498,0.6282709742668189,9,828,,0.5062596201896667,0.6110929846763611,0.6901645064353943,0.8007057309150696,0.8974210023880005
meta-llama-Llama-3.1-8B,boiling_point_c question,16,0.5161,0.9762829624176936,0.6046841469707719,-0.0313927422270013,0.6360768891977732,9,828,,0.6643068194389343,0.7646682262420654,0.8245896697044373,0.8889085054397583,0.9470854997634888
